scanID,field,amp,amp_stderr,phase,phase_stderr,offset,freq
585516,5.0,1.7083129264151554e-14,3.0207120418897303e-15,149.99999984902036,9.988120781047416,-5.2017916963301956e-14,4
585517,10.0,4.437966911738128e-14,3.6778358441743314e-15,126.4714135861835,4.785821028625785,-4.105485646220628e-14,4
585518,13.0,7.259055563985743e-14,3.483862720087654e-15,134.7863170815922,2.7492363998836873,-5.013842801835289e-14,4
585519,14.0,6.993567506361605e-14,3.0345048228392984e-15,130.24063254804028,2.4967030583972685,-5.111245919158944e-14,4
585520,15.0,1.0179269699099319e-13,5.272731026424425e-15,118.05966588481573,3.014260498859863,-5.633620692080792e-14,4
585521,15.2,1.0454435574870817e-13,5.514930392592961e-15,117.71023074867836,3.070483055658195,-4.8827061072894507e-14,4
585522,15.4,1.2932812886340834e-13,4.472210126505236e-15,123.0860383030672,2.0033763495473944,-5.106770915875883e-14,4
585523,15.6,1.2421182262113027e-13,4.535719201368322e-15,124.96342436641604,2.1118078237761497,-6.701411259602557e-14,4
585524,15.8,1.284485819745144e-13,5.195148176992305e-15,118.21894612485013,2.3531663510122494,-6.55405169948173e-14,4
585525,16.0,1.3359061798011721e-13,3.7522717550587845e-15,106.46385027747633,1.647783785734821,-4.830308381590003e-14,4
585526,16.2,1.5062350948602345e-13,5.149539962084269e-15,111.86702574118976,1.998845592213923,-4.42963047220506e-14,4
585527,16.4,1.6042533831604577e-13,4.0312665481114334e-15,104.92855885742111,1.4753489993069098,-5.377797328902893e-14,4
585528,16.6,1.5731935787073075e-13,5.826589118048134e-15,108.35083161990968,2.170388406131319,-5.1673541222494724e-14,4
585529,16.8,1.8806442000501922e-13,5.480361680704737e-15,97.71158380178889,1.7157886877221948,-4.988552181835415e-14,4
585530,17.0,2.3758696413080305e-13,9.916854859952146e-15,99.03644866976228,2.4565738027727537,-5.719537344861326e-14,4
585531,17.2,2.6657945039888553e-13,5.669433260402533e-15,88.2009957425625,1.2535898113759723,-5.4266182472750385e-14,4
585532,17.4,2.616471322277435e-13,5.0522206903887204e-15,78.22883794084905,1.1357336349301805,-5.862877918946136e-14,4
585533,17.6,2.753610521024616e-13,4.46863258147194e-15,75.79854501380277,0.9535220236547659,-6.024246656906784e-14,4
585534,17.8,3.238474634970691e-13,3.0613912745776324e-15,59.10403374122967,0.5491527520291624,-4.9774752431119454e-14,4
585535,18.0,3.295237290019658e-13,7.7573631759835e-15,48.39295446092072,1.3538992748178154,-6.026121138827699e-14,4
585536,18.2,2.991178635678417e-13,5.669726549924777e-15,31.40840294102196,1.0724458547178815,-2.7315130006755827e-14,4
585537,18.4,2.740929725474722e-13,9.599109941161952e-15,23.591566357761437,1.9688042507569947,-2.0088895420893785e-14,4
585538,18.6,2.640421164591148e-13,1.1095670652291813e-14,25.36294182127986,2.365688898867202,-4.874254203692125e-14,4
585539,18.8,2.333870841129792e-13,6.555273350612807e-15,16.48539465211985,1.5717827886752005,-4.213316846736632e-14,4
585540,19.0,2.0185301134522003e-13,5.659017194126556e-15,9.199328734216593,1.563813974475096,-3.9686680552961553e-14,4
585541,19.2,1.7544441897691995e-13,6.7418789942109356e-15,2.6515484764612722,2.140432902484808,-3.478250147780348e-14,4
585542,19.4,1.5246636432418165e-13,4.113032842612357e-15,0.8611720882678071,1.5023820690626435,-3.99771645844324e-14,4
585543,19.6,1.406836438950055e-13,4.889100169555271e-15,6.880906691581842,1.9372004618939238,-3.5899386627487594e-14,4
585544,19.8,1.2532603906796929e-13,3.5126752127286476e-15,-2.450254984675624,1.5610469156554991,-3.3104741935168524e-14,4
585545,20.0,1.1363076249096443e-13,3.1630986837164084e-15,-2.2690083257144664,1.5503540308176806,-4.035989238267744e-14,4
585546,20.2,1.1094894023153989e-13,3.600602181279299e-15,-2.629994887960706,1.8074946520230626,-4.496979845951788e-14,4
585547,20.4,9.03425427329284e-14,4.506098824439389e-15,2.253652614170605,2.7781222466935405,-4.78725415985603e-14,4
585548,20.6,7.027145888054222e-14,2.73128227355426e-15,-6.275661797148359,2.1658686388026247,-4.316480088640728e-14,4
585549,20.8,8.387101695845326e-14,2.4650068321819817e-15,-1.514942848766978,1.6368305813625434,-4.6784409986435687e-14,4
585550,21.0,7.66271501131401e-14,4.262725282448812e-15,-3.5713941025788927,3.0984887625354434,-5.296591713247249e-14,4
585551,21.2,7.078660973996101e-14,3.656493616209216e-15,-1.3816716001839922,2.8768855145630097,-4.139605669270415e-14,4
585552,21.4,7.300922364724175e-14,3.3780531875300165e-15,7.045031966404991,2.5792625735589865,-4.1072231607812365e-14,4
585553,21.6,6.645025863675342e-14,2.57789352600277e-15,9.654829438029083,2.164283634200658,-4.534805257627786e-14,4
585554,21.8,6.177642020524422e-14,3.7966609451487495e-15,3.1858372760714957,3.423466762781152,-4.342333039316609e-14,4
585555,22.0,4.7117495254075054e-14,3.2635510253135428e-15,2.4164049422243465,3.8579622330232297,-4.774269506999603e-14,4
585556,23.0,5.282254770185819e-14,4.38907590513668e-15,14.574960670746592,4.644884784887334,-5.2117356079362865e-14,4
585557,24.0,5.341414028331181e-14,2.554783116527141e-15,22.25889565315819,2.6863251493924207,-5.0534867357816333e-14,4
585558,25.0,4.816389809739302e-14,2.9440231987843593e-15,22.047575749275893,3.4325437665128518,-6.091278332305733e-14,4
