checkbeam_checkrc_beamok,checkbeam_checktopup_time_beamok,macr16_data,refl_refl,refl_refl_raw,refl_refl_sens,vmag_field,vmag_phi,vmag_theta
1,1,74044,1.2227e-09,24454,5e-10,-8,90,35
1,1,74033,1.2228e-09,24457,5e-10,-7.9,90,35
1,1,74036,1.2232e-09,24463,5e-10,-7.8,90,35
1,1,74069,1.2234e-09,24469,5e-10,-7.7,90,35
1,1,74045,1.2231e-09,24462,5e-10,-7.6,90,35
1,1,73962,1.2221e-09,24443,5e-10,-7.5,90,35
1,1,73919,1.2208e-09,24416,5e-10,-7.4,90,35
1,1,73705,1.2186e-09,24373,5e-10,-7.3,90,35
1,1,73985,1.2211e-09,24422,5e-10,-7.2,90,35
1,1,73671,1.2179e-09,24359,5e-10,-7.1,90,35
1,1,73744,1.2179e-09,24359,5e-10,-7,90,35
1,1,73710,1.2186e-09,24371,5e-10,-6.9,90,35
1,1,73642,1.2174e-09,24348,5e-10,-6.8,90,35
1,1,73670,1.2173e-09,24346,5e-10,-6.7,90,35
1,1,73474,1.2146e-09,24292,5e-10,-6.6,90,35
1,1,73656,1.2171e-09,24341,5e-10,-6.5,90,35
1,1,73571,1.2159e-09,24317,5e-10,-6.4,90,35
1,1,73455,1.2144e-09,24288,5e-10,-6.3,90,35
1,1,73465,1.2148e-09,24297,5e-10,-6.2,90,35
1,1,73348,1.2125e-09,24251,5e-10,-6.1,90,35
1,1,73515,1.2158e-09,24315,5e-10,-6,90,35
1,1,73499,1.2144e-09,24287,5e-10,-5.9,90,35
1,1,73491,1.214e-09,24280,5e-10,-5.8,90,35
1,1,73478,1.2152e-09,24304,5e-10,-5.7,90,35
1,1,73616,1.2167e-09,24335,5e-10,-5.6,90,35
1,1,73535,1.2158e-09,24315,5e-10,-5.5,90,35
1,1,73626,1.2167e-09,24334,5e-10,-5.4,90,35
1,1,73560,1.2153e-09,24307,5e-10,-5.3,90,35
1,1,73607,1.2156e-09,24311,5e-10,-5.2,90,35
1,1,73591,1.2158e-09,24316,5e-10,-5.1,90,35
1,1,73621,1.2165e-09,24329,5e-10,-5,90,35
1,1,73628,1.2159e-09,24319,5e-10,-4.9,90,35
1,1,73696,1.2168e-09,24336,5e-10,-4.8,90,35
1,1,73713,1.2177e-09,24354,5e-10,-4.7,90,35
1,1,73582,1.2155e-09,24310,5e-10,-4.6,90,35
1,1,73559,1.2154e-09,24309,5e-10,-4.5,90,35
1,1,73625,1.2148e-09,24296,5e-10,-4.4,90,35
1,1,73525,1.2138e-09,24275,5e-10,-4.3,90,35
1,1,73535,1.2148e-09,24297,5e-10,-4.2,90,35
1,1,73679,1.2163e-09,24326,5e-10,-4.1,90,35
1,1,73793,1.2168e-09,24336,5e-10,-4,90,35
1,1,73673,1.216e-09,24320,5e-10,-3.9,90,35
1,1,73823,1.2184e-09,24367,5e-10,-3.8,90,35
1,1,73827,1.2174e-09,24349,5e-10,-3.7,90,35
1,1,73711,1.2163e-09,24325,5e-10,-3.6,90,35
1,1,73792,1.2172e-09,24345,5e-10,-3.5,90,35
1,1,73702,1.2157e-09,24314,5e-10,-3.4,90,35
1,1,73746,1.216e-09,24320,5e-10,-3.3,90,35
1,1,73740,1.2162e-09,24324,5e-10,-3.2,90,35
1,1,73803,1.2174e-09,24349,5e-10,-3.1,90,35
1,1,73792,1.2169e-09,24338,5e-10,-3,90,35
1,1,73810,1.2166e-09,24333,5e-10,-2.9,90,35
1,1,73981,1.2178e-09,24355,5e-10,-2.8,90,35
1,1,73901,1.2171e-09,24341,5e-10,-2.7,90,35
1,1,73727,1.2144e-09,24287,5e-10,-2.6,90,35
1,1,73732,1.2151e-09,24302,5e-10,-2.5,90,35
1,1,73750,1.2145e-09,24291,5e-10,-2.4,90,35
1,1,73819,1.215e-09,24299,5e-10,-2.3,90,35
1,1,73910,1.2164e-09,24327,5e-10,-2.2,90,35
1,1,73864,1.2145e-09,24291,5e-10,-2.1,90,35
