checkbeam_checkrc_beamok,checkbeam_checktopup_time_beamok,macr16_data,refl_refl,refl_refl_raw,refl_refl_sens,vmag_field,vmag_phi,vmag_theta
1,1,73563,9.1625e-10,18325,5e-10,8,90,35
1,1,73728,9.1805e-10,18361,5e-10,7.9,90,35
1,1,73803,9.1825e-10,18365,5e-10,7.8,90,35
1,1,73726,9.1735e-10,18347,5e-10,7.7,90,35
1,1,73780,9.175e-10,18350,5e-10,7.6,90,35
1,1,73691,9.176e-10,18352,5e-10,7.5,90,35
1,1,73714,9.1725e-10,18345,5e-10,7.4,90,35
1,1,73750,9.1735e-10,18347,5e-10,7.3,90,35
1,1,73782,9.178e-10,18356,5e-10,7.2,90,35
1,1,73620,9.163e-10,18326,5e-10,7.1,90,35
1,1,73859,9.1895e-10,18379,5e-10,7,90,35
1,1,73801,9.18e-10,18360,5e-10,6.9,90,35
1,1,73788,9.1825e-10,18365,5e-10,6.8,90,35
1,1,73648,9.172e-10,18344,5e-10,6.7,90,35
1,1,73739,9.172e-10,18344,5e-10,6.6,90,35
1,1,73804,9.18e-10,18360,5e-10,6.5,90,35
1,1,73752,9.175e-10,18350,5e-10,6.4,90,35
1,1,73905,9.1895e-10,18379,5e-10,6.3,90,35
1,1,73724,9.1715e-10,18343,5e-10,6.2,90,35
1,1,73820,9.187e-10,18374,5e-10,6.1,90,35
1,1,73956,9.199e-10,18398,5e-10,6,90,35
1,1,73905,9.1915e-10,18383,5e-10,5.9,90,35
1,1,73775,9.1755e-10,18351,5e-10,5.8,90,35
1,1,73897,9.196e-10,18392,5e-10,5.7,90,35
1,1,73950,9.1955e-10,18391,5e-10,5.6,90,35
1,1,73780,9.178e-10,18356,5e-10,5.5,90,35
1,1,73858,9.182e-10,18364,5e-10,5.4,90,35
1,1,73817,9.179e-10,18358,5e-10,5.3,90,35
1,1,73929,9.1915e-10,18383,5e-10,5.2,90,35
1,1,73862,9.1835e-10,18367,5e-10,5.1,90,35
1,1,73960,9.1945e-10,18389,5e-10,5,90,35
1,1,73869,9.192e-10,18384,5e-10,4.9,90,35
1,1,73939,9.1935e-10,18387,5e-10,4.8,90,35
1,1,73950,9.191e-10,18382,5e-10,4.7,90,35
1,1,73881,9.19e-10,18380,5e-10,4.6,90,35
1,1,74058,9.2075e-10,18415,5e-10,4.5,90,35
1,1,74187,9.2215e-10,18443,5e-10,4.4,90,35
1,1,74221,9.22e-10,18440,5e-10,4.3,90,35
1,1,74161,9.211e-10,18422,5e-10,4.2,90,35
1,1,74103,9.211e-10,18422,5e-10,4.1,90,35
1,1,74143,9.2185e-10,18437,5e-10,4,90,35
1,1,74098,9.209e-10,18418,5e-10,3.9,90,35
1,1,73922,9.192e-10,18384,5e-10,3.8,90,35
1,1,74069,9.207e-10,18414,5e-10,3.7,90,35
1,1,74183,9.218e-10,18436,5e-10,3.6,90,35
1,1,74129,9.2155e-10,18431,5e-10,3.5,90,35
1,1,74058,9.204e-10,18408,5e-10,3.4,90,35
1,1,74018,9.2025e-10,18405,5e-10,3.3,90,35
1,1,74086,9.214e-10,18428,5e-10,3.2,90,35
1,1,73972,9.2e-10,18400,5e-10,3.1,90,35
1,1,73944,9.2065e-10,18413,5e-10,3,90,35
1,1,74074,9.2095e-10,18419,5e-10,2.9,90,35
1,1,74063,9.21e-10,18420,5e-10,2.8,90,35
1,1,73982,9.2055e-10,18411,5e-10,2.7,90,35
1,1,74060,9.2085e-10,18417,5e-10,2.6,90,35
1,1,73804,9.187e-10,18374,5e-10,2.5,90,35
1,1,73960,9.1975e-10,18395,5e-10,2.4,90,35
1,1,73866,9.199e-10,18398,5e-10,2.3,90,35
1,1,73803,9.1925e-10,18385,5e-10,2.2,90,35
1,1,73935,9.205e-10,18410,5e-10,2.1,90,35
1,1,73856,9.205e-10,18410,5e-10,2,90,35
1,1,74085,9.226e-10,18452,5e-10,1.9,90,35
1,1,74058,9.229e-10,18458,5e-10,1.8,90,35
1,1,74166,9.24e-10,18480,5e-10,1.7,90,35
1,1,74099,9.243e-10,18486,5e-10,1.6,90,35
1,1,74202,9.2455e-10,18491,5e-10,1.5,90,35
1,1,74116,9.2575e-10,18515,5e-10,1.4,90,35
1,1,74170,9.2625e-10,18525,5e-10,1.3,90,35
1,1,74061,9.26e-10,18520,5e-10,1.2,90,35
1,1,73999,9.2705e-10,18541,5e-10,1.1,90,35
1,1,73998,9.2715e-10,18543,5e-10,1,90,35
1,1,74098,9.297e-10,18594,5e-10,0.9,90,35
1,1,73859,9.2815e-10,18563,5e-10,0.8,90,35
1,1,73987,9.309e-10,18618,5e-10,0.7,90,35
1,1,74026,9.319e-10,18638,5e-10,0.6,90,35
1,1,73835,9.3335e-10,18667,5e-10,0.5,90,35
1,1,73929,9.3545e-10,18709,5e-10,0.4,90,35
1,1,73980,9.3635e-10,18727,5e-10,0.3,90,35
1,1,74081,9.3885e-10,18777,5e-10,0.2,90,35
1,1,73958,9.377e-10,18754,5e-10,0.1,90,35
1,1,74158,9.4025e-10,18805,5e-10,1.1685e-14,90,35
1,1,74068,9.455e-10,18910,5e-10,-0.1,90,35
1,1,73931,9.442e-10,18884,5e-10,-0.2,90,35
1,1,73952,9.515e-10,19030,5e-10,-0.3,90,35
1,1,73780,9.505e-10,19010,5e-10,-0.4,90,35
1,1,73935,9.7075e-10,19415,5e-10,-0.5,90,35
1,1,73916,1.096e-09,21920,5e-10,-0.6,90,35
1,1,73990,1.0965e-09,21930,5e-10,-0.7,90,35
1,1,73951,1.1201e-09,22403,5e-10,-0.8,90,35
1,1,73995,1.1214e-09,22427,5e-10,-0.9,90,35
1,1,73827,1.13e-09,22599,5e-10,-1,90,35
1,1,73819,1.1299e-09,22598,5e-10,-1.1,90,35
1,1,73750,1.1398e-09,22796,5e-10,-1.2,90,35
1,1,73748,1.1984e-09,23969,5e-10,-1.3,90,35
1,1,73779,1.1985e-09,23971,5e-10,-1.4,90,35
1,1,73923,1.2043e-09,24086,5e-10,-1.5,90,35
1,1,73891,1.2043e-09,24085,5e-10,-1.6,90,35
1,1,73879,1.2064e-09,24129,5e-10,-1.7,90,35
1,1,73986,1.2085e-09,24170,5e-10,-1.8,90,35
1,1,73815,1.2079e-09,24158,5e-10,-1.9,90,35
1,1,73774,1.209e-09,24180,5e-10,-2,90,35
1,1,73808,1.2094e-09,24189,5e-10,-2.1,90,35
1,1,73879,1.2119e-09,24238,5e-10,-2.2,90,35
1,1,73846,1.211e-09,24219,5e-10,-2.3,90,35
1,1,73821,1.2111e-09,24223,5e-10,-2.4,90,35
1,1,73789,1.2131e-09,24262,5e-10,-2.5,90,35
1,1,73692,1.2113e-09,24227,5e-10,-2.6,90,35
1,1,73602,1.2105e-09,24209,5e-10,-2.7,90,35
1,1,73478,1.2084e-09,24168,5e-10,-2.8,90,35
1,1,73563,1.2111e-09,24222,5e-10,-2.9,90,35
1,1,73637,1.2118e-09,24235,5e-10,-3,90,35
1,1,73458,1.2101e-09,24202,5e-10,-3.1,90,35
1,1,73589,1.2118e-09,24237,5e-10,-3.2,90,35
1,1,73462,1.2105e-09,24209,5e-10,-3.3,90,35
1,1,73330,1.2097e-09,24193,5e-10,-3.4,90,35
1,1,73541,1.2118e-09,24235,5e-10,-3.5,90,35
1,1,73604,1.2134e-09,24269,5e-10,-3.6,90,35
1,1,73566,1.2132e-09,24263,5e-10,-3.7,90,35
1,1,73688,1.2147e-09,24294,5e-10,-3.8,90,35
1,1,73669,1.2143e-09,24286,5e-10,-3.9,90,35
1,1,73848,1.2168e-09,24336,5e-10,-4,90,35
1,1,73706,1.2151e-09,24302,5e-10,-4.1,90,35
1,1,73584,1.2137e-09,24274,5e-10,-4.2,90,35
1,1,73664,1.2146e-09,24293,5e-10,-4.3,90,35
1,1,73580,1.2148e-09,24296,5e-10,-4.4,90,35
1,1,73761,1.2173e-09,24347,5e-10,-4.5,90,35
1,1,73843,1.2178e-09,24356,5e-10,-4.6,90,35
1,1,73771,1.2166e-09,24333,5e-10,-4.7,90,35
1,1,73925,1.2187e-09,24375,5e-10,-4.8,90,35
1,1,73943,1.2192e-09,24383,5e-10,-4.9,90,35
1,1,73955,1.2197e-09,24393,5e-10,-5,90,35
1,1,73826,1.2187e-09,24375,5e-10,-5.1,90,35
1,1,73854,1.2182e-09,24364,5e-10,-5.2,90,35
1,1,73931,1.2195e-09,24390,5e-10,-5.3,90,35
1,1,73880,1.218e-09,24360,5e-10,-5.4,90,35
1,1,73719,1.2161e-09,24323,5e-10,-5.5,90,35
1,1,73846,1.2177e-09,24354,5e-10,-5.6,90,35
1,1,73954,1.2198e-09,24396,5e-10,-5.7,90,35
1,1,73830,1.2188e-09,24377,5e-10,-5.8,90,35
1,1,73851,1.219e-09,24379,5e-10,-5.9,90,35
1,1,73854,1.2187e-09,24375,5e-10,-6,90,35
1,1,73873,1.2186e-09,24373,5e-10,-6.1,90,35
1,1,73896,1.2193e-09,24386,5e-10,-6.2,90,35
1,1,73846,1.2187e-09,24375,5e-10,-6.3,90,35
1,1,73679,1.2174e-09,24349,5e-10,-6.4,90,35
1,1,73676,1.2172e-09,24345,5e-10,-6.5,90,35
1,1,73674,1.2161e-09,24322,5e-10,-6.6,90,35
1,1,73559,1.2157e-09,24313,5e-10,-6.7,90,35
1,1,73559,1.2158e-09,24315,5e-10,-6.8,90,35
1,1,73701,1.2168e-09,24336,5e-10,-6.9,90,35
1,1,73774,1.2172e-09,24345,5e-10,-7,90,35
1,1,73617,1.2165e-09,24329,5e-10,-7.1,90,35
1,1,73542,1.2158e-09,24315,5e-10,-7.2,90,35
1,1,73500,1.2157e-09,24313,5e-10,-7.3,90,35
1,1,73535,1.2151e-09,24302,5e-10,-7.4,90,35
1,1,73581,1.2156e-09,24312,5e-10,-7.5,90,35
1,1,73642,1.2174e-09,24348,5e-10,-7.6,90,35
1,1,73666,1.217e-09,24339,5e-10,-7.7,90,35
1,1,73625,1.2174e-09,24349,5e-10,-7.8,90,35
1,1,73701,1.2172e-09,24343,5e-10,-7.9,90,35
1,1,73710,1.2185e-09,24370,5e-10,-8,90,35
