checkbeam_checkrc_beamok,checkbeam_checktopup_time_beamok,macr16_data,refl_refl,refl_refl_raw,refl_refl_sens,vmag_field,vmag_phi,vmag_theta
1,1,79642,1.7581e-09,35162,5e-10,8,90,35
1,1,79607,1.762e-09,35240,5e-10,7.9,90,35
1,1,79634,1.7619e-09,35237,5e-10,7.8,90,35
1,1,79610,1.7618e-09,35235,5e-10,7.7,90,35
1,1,79476,1.7607e-09,35215,5e-10,7.6,90,35
1,1,79489,1.7617e-09,35234,5e-10,7.5,90,35
1,1,79499,1.7616e-09,35232,5e-10,7.4,90,35
1,1,79588,1.7644e-09,35287,5e-10,7.3,90,35
1,1,79572,1.7636e-09,35272,5e-10,7.2,90,35
1,1,79590,1.7652e-09,35303,5e-10,7.1,90,35
1,1,79595,1.7656e-09,35313,5e-10,7,90,35
1,1,79509,1.764e-09,35281,5e-10,6.9,90,35
1,1,79409,1.7629e-09,35259,5e-10,6.8,90,35
1,1,79430,1.764e-09,35280,5e-10,6.7,90,35
1,1,79571,1.766e-09,35321,5e-10,6.6,90,35
1,1,79399,1.7643e-09,35286,5e-10,6.5,90,35
1,1,79542,1.7667e-09,35334,5e-10,6.4,90,35
1,1,79572,1.767e-09,35340,5e-10,6.3,90,35
1,1,79442,1.7648e-09,35296,5e-10,6.2,90,35
1,1,79434,1.7659e-09,35317,5e-10,6.1,90,35
1,1,79586,1.768e-09,35359,5e-10,6,90,35
1,1,79357,1.7655e-09,35310,5e-10,5.9,90,35
1,1,79435,1.7658e-09,35316,5e-10,5.8,90,35
1,1,79375,1.7658e-09,35315,5e-10,5.7,90,35
1,1,79234,1.7631e-09,35262,5e-10,5.6,90,35
1,1,79300,1.7645e-09,35289,5e-10,5.5,90,35
1,1,79207,1.7639e-09,35277,5e-10,5.4,90,35
1,1,79503,1.7673e-09,35345,5e-10,5.3,90,35
1,1,79610,1.769e-09,35380,5e-10,5.2,90,35
1,1,79293,1.7646e-09,35292,5e-10,5.1,90,35
1,1,79306,1.7642e-09,35285,5e-10,5,90,35
1,1,79370,1.7665e-09,35330,5e-10,4.9,90,35
1,1,79388,1.7671e-09,35341,5e-10,4.8,90,35
1,1,79476,1.768e-09,35361,5e-10,4.7,90,35
1,1,79371,1.7669e-09,35338,5e-10,4.6,90,35
