checkbeam_checkrc_beamok,checkbeam_checktopup_time_beamok,macr16_data,refl_refl,refl_refl_raw,refl_refl_sens,vmag_field,vmag_phi,vmag_theta
1,1,79390,1.9542e-09,39084,5e-10,-8,90,35
1,1,79256,1.9511e-09,39022,5e-10,-7.9,90,35
1,1,79267,1.951e-09,39019,5e-10,-7.8,90,35
1,1,79346,1.9532e-09,39064,5e-10,-7.7,90,35
1,1,79313,1.9512e-09,39025,5e-10,-7.6,90,35
1,1,79334,1.9533e-09,39065,5e-10,-7.5,90,35
1,1,79253,1.9518e-09,39036,5e-10,-7.4,90,35
1,1,79070,1.9482e-09,38963,5e-10,-7.3,90,35
1,1,79136,1.9489e-09,38978,5e-10,-7.2,90,35
1,1,79151,1.9483e-09,38965,5e-10,-7.1,90,35
1,1,79223,1.95e-09,39001,5e-10,-7,90,35
1,1,79362,1.9521e-09,39042,5e-10,-6.9,90,35
1,1,79144,1.9483e-09,38966,5e-10,-6.8,90,35
1,1,79200,1.9498e-09,38997,5e-10,-6.7,90,35
1,1,79279,1.95e-09,39000,5e-10,-6.6,90,35
1,1,79354,1.9524e-09,39047,5e-10,-6.5,90,35
1,1,79425,1.9541e-09,39082,5e-10,-6.4,90,35
1,1,79311,1.9511e-09,39021,5e-10,-6.3,90,35
1,1,79319,1.9518e-09,39036,5e-10,-6.2,90,35
1,1,79260,1.9512e-09,39025,5e-10,-6.1,90,35
1,1,79341,1.9514e-09,39029,5e-10,-6,90,35
1,1,79230,1.9501e-09,39003,5e-10,-5.9,90,35
1,1,79426,1.9525e-09,39051,5e-10,-5.8,90,35
1,1,79410,1.9535e-09,39069,5e-10,-5.7,90,35
1,1,79354,1.9521e-09,39042,5e-10,-5.6,90,35
1,1,79380,1.953e-09,39061,5e-10,-5.5,90,35
1,1,79184,1.9477e-09,38954,5e-10,-5.4,90,35
1,1,79468,1.9539e-09,39078,5e-10,-5.3,90,35
1,1,79223,1.9489e-09,38978,5e-10,-5.2,90,35
1,1,79394,1.9525e-09,39051,5e-10,-5.1,90,35
1,1,79282,1.9494e-09,38987,5e-10,-5,90,35
1,1,79376,1.9509e-09,39017,5e-10,-4.9,90,35
1,1,79343,1.9518e-09,39036,5e-10,-4.8,90,35
1,1,79592,1.9543e-09,39087,5e-10,-4.7,90,35
1,1,79360,1.9513e-09,39027,5e-10,-4.6,90,35
