checkbeam_checkrc_beamok,checkbeam_checktopup_time_beamok,macr16_data,refl_refl,refl_refl_raw,refl_refl_sens,vmag_field,vmag_phi,vmag_theta
1,1,77655,1.6859e-09,33718,5e-10,1.8,90,35
1,1,77912,1.6905e-09,33809,5e-10,1.9,90,35
1,1,77801,1.6893e-09,33787,5e-10,2,90,35
1,1,77906,1.6903e-09,33806,5e-10,2.1,90,35
1,1,77918,1.6907e-09,33814,5e-10,2.2,90,35
1,1,77814,1.6894e-09,33788,5e-10,2.3,90,35
1,1,77779,1.6886e-09,33773,5e-10,2.4,90,35
1,1,77752,1.6885e-09,33771,5e-10,2.5,90,35
1,1,77957,1.6913e-09,33827,5e-10,2.6,90,35
1,1,78059,1.6934e-09,33869,5e-10,2.7,90,35
1,1,78083,1.6947e-09,33895,5e-10,2.8,90,35
1,1,78115,1.6957e-09,33914,5e-10,2.9,90,35
1,1,78077,1.6945e-09,33890,5e-10,3,90,35
1,1,78083,1.6945e-09,33891,5e-10,3.1,90,35
1,1,77952,1.6934e-09,33868,5e-10,3.2,90,35
1,1,78101,1.6938e-09,33876,5e-10,3.3,90,35
1,1,77986,1.6925e-09,33850,5e-10,3.4,90,35
1,1,77955,1.6931e-09,33861,5e-10,3.5,90,35
1,1,77982,1.6922e-09,33844,5e-10,3.6,90,35
1,1,77853,1.69e-09,33800,5e-10,3.7,90,35
1,1,77922,1.692e-09,33841,5e-10,3.8,90,35
1,1,77958,1.6929e-09,33858,5e-10,3.9,90,35
1,1,78116,1.695e-09,33900,5e-10,4,90,35
1,1,77809,1.6903e-09,33806,5e-10,4.1,90,35
1,1,77922,1.6923e-09,33846,5e-10,4.2,90,35
1,1,77945,1.6929e-09,33857,5e-10,4.3,90,35
1,1,77983,1.6924e-09,33847,5e-10,4.4,90,35
1,1,78012,1.6937e-09,33874,5e-10,4.5,90,35
1,1,77768,1.69e-09,33801,5e-10,4.6,90,35
1,1,77967,1.6934e-09,33869,5e-10,4.7,90,35
1,1,77720,1.688e-09,33760,5e-10,4.8,90,35
1,1,77755,1.6898e-09,33796,5e-10,4.9,90,35
1,1,77717,1.689e-09,33779,5e-10,5,90,35
1,1,77793,1.6905e-09,33809,5e-10,5.1,90,35
1,1,77735,1.6897e-09,33794,5e-10,5.2,90,35
1,1,77760,1.6905e-09,33810,5e-10,5.3,90,35
1,1,77768,1.6895e-09,33790,5e-10,5.4,90,35
1,1,77755,1.6904e-09,33807,5e-10,5.5,90,35
1,1,77707,1.69e-09,33800,5e-10,5.6,90,35
1,1,77732,1.6898e-09,33797,5e-10,5.7,90,35
1,1,77810,1.6914e-09,33828,5e-10,5.8,90,35
1,1,77848,1.6925e-09,33851,5e-10,5.9,90,35
1,1,77823,1.6915e-09,33830,5e-10,6,90,35
1,1,77789,1.6909e-09,33817,5e-10,6.1,90,35
1,1,77810,1.691e-09,33820,5e-10,6.2,90,35
1,1,77841,1.6921e-09,33842,5e-10,6.3,90,35
1,1,77962,1.6934e-09,33868,5e-10,6.4,90,35
1,1,77710,1.6909e-09,33818,5e-10,6.5,90,35
1,1,77723,1.6899e-09,33799,5e-10,6.6,90,35
1,1,77501,1.6868e-09,33736,5e-10,6.7,90,35
1,1,77742,1.6898e-09,33796,5e-10,6.8,90,35
1,1,77749,1.6909e-09,33817,5e-10,6.9,90,35
1,1,77615,1.6891e-09,33781,5e-10,7,90,35
1,1,77571,1.6874e-09,33748,5e-10,7.1,90,35
1,1,77667,1.6891e-09,33783,5e-10,7.2,90,35
1,1,77780,1.6911e-09,33821,5e-10,7.3,90,35
1,1,77856,1.6928e-09,33856,5e-10,7.4,90,35
1,1,77847,1.6926e-09,33852,5e-10,7.5,90,35
1,1,77944,1.6945e-09,33891,5e-10,7.6,90,35
1,1,77827,1.693e-09,33860,5e-10,7.7,90,35
1,1,77789,1.6912e-09,33825,5e-10,7.8,90,35
1,1,77865,1.6939e-09,33877,5e-10,7.9,90,35
1,1,77901,1.6939e-09,33877,5e-10,8,90,35
