energy,a,b
840.0,0.7907265478263422,0.8083098044499443
840.1,0.7915682269209522,0.8094841808786213
840.2,0.7924099060155622,0.8105310914519508
840.3000000000001,0.7923716692840966,0.8106691601135726
840.4000000000001,0.7916182557068195,0.8091446400989422
840.5000000000001,0.7923097221817201,0.8095719673042817
840.6000000000001,0.7937237573710437,0.8125023396718523
840.7000000000002,0.7914691060576313,0.8107563014994138
840.8000000000002,0.7922892113681564,0.8106135455207744
840.9000000000002,0.7941292831049195,0.8118695328705772
841.0000000000002,0.7932410443114989,0.8124462265937848
841.1000000000003,0.7929455151036992,0.812033111126448
841.2000000000003,0.7936508429370865,0.8132498748517324
841.3000000000003,0.7951859039203552,0.8138524011124904
841.4000000000003,0.7949265594203384,0.8126752791309783
841.5000000000003,0.7938474490812603,0.8126766042451887
841.6000000000004,0.7955775915250164,0.8128474810810906
841.7000000000004,0.7954150802320945,0.8133743845437892
841.8000000000004,0.7949238700170005,0.8139431592927148
841.9000000000004,0.7958942366868101,0.8145436379303393
842.0000000000005,0.7969387618740995,0.8145372346670379
842.1000000000005,0.7957500809712922,0.8152527361365115
842.2000000000005,0.7966395699167643,0.8149853166555017
842.3000000000005,0.7972194913864542,0.8143873251293292
842.4000000000005,0.7969876241725123,0.8153699524123914
842.5000000000006,0.7963176607601253,0.8154125722561534
842.6000000000006,0.7969652830548565,0.8147486292917689
842.7000000000006,0.7978630564507813,0.8158147814391984
842.8000000000006,0.7972026081066987,0.8166856484396278
842.9000000000007,0.7978194657720816,0.816202897214593
843.0000000000007,0.7996019746152581,0.8162921278078817
843.1000000000007,0.7990335329320177,0.8165695479183741
843.2000000000007,0.7977607566878485,0.8165985755792948
843.3000000000008,0.7993480162193102,0.8167095313305123
843.4000000000008,0.7992966739248034,0.8169825500595308
843.5000000000008,0.7986018474484373,0.8180165952133029
843.6000000000008,0.7995299717287176,0.8183006895139472
843.7000000000008,0.8009042470441924,0.8189659531897283
843.8000000000009,0.8009619418460461,0.8185444913378647
843.9000000000009,0.7998241403688214,0.8181830425895257
844.0000000000009,0.8009797544063736,0.8191931475862192
844.1000000000009,0.8008680754353609,0.8178588917158718
844.200000000001,0.8002001471770304,0.8193589870778144
844.300000000001,0.8007221376442761,0.8197740612429908
844.400000000001,0.8019248962677995,0.8197221063798983
844.500000000001,0.8015753969444682,0.8204720560693055
844.600000000001,0.8017371684040733,0.8207649420907529
844.7000000000011,0.8024410237289139,0.8204224469686607
